kilometrage,age_vehicule,regime_moteur,temperature_moteur,pression_huile,tension_batterie,type_carburant,nbre_entretiens,etat
126958,7,937,77,2.5,13.6,essence,13,aucune_panne
151867,3,3646,72,0.8,14.5,diesel,0,panne_critique
136932,10,3230,72,2.3,14.8,essence,6,aucune_panne
264178,10,2660,90,1.7,13.7,diesel,7,entretien_conseille
124879,19,1748,61,3.8,12.1,essence,17,entretien_conseille
115268,14,3229,75,0.7,14.3,diesel,8,entretien_conseille
212892,2,3664,68,2.2,11.2,essence,0,panne_probable
59886,1,1663,97,2.3,11.9,essence,16,aucune_panne
142337,18,1236,113,3.4,14.4,diesel,18,panne_probable
92498,7,4923,115,2.8,12.0,diesel,5,entretien_conseille
180203,8,4379,104,3.2,11.8,essence,2,panne_critique
196335,1,4887,93,3.6,11.5,diesel,4,panne_probable
283167,3,4424,68,3.9,14.3,diesel,1,panne_critique
46090,8,1242,67,1.8,12.9,essence,19,aucune_panne
69820,15,1545,66,2.7,13.6,diesel,3,aucune_panne
267913,5,4303,95,3.9,11.9,essence,9,panne_critique
199027,3,3736,77,4.5,13.9,essence,9,aucune_panne
257709,19,3194,62,4.1,13.9,diesel,10,panne_critique
204041,1,3419,87,2.0,12.2,diesel,15,aucune_panne
272455,15,2584,129,1.3,12.6,essence,16,panne_critique
108355,8,4838,103,2.5,11.8,essence,15,entretien_conseille
240796,2,3901,80,3.5,14.7,essence,6,aucune_panne
219176,3,3410,87,2.5,13.5,essence,15,aucune_panne
189779,14,2653,113,2.4,14.6,essence,2,panne_critique
263795,14,4550,113,3.9,12.2,essence,15,panne_critique
161730,11,1389,124,1.9,14.0,diesel,7,panne_probable
154503,16,2650,80,3.9,13.9,diesel,11,panne_probable
135523,4,1156,72,2.1,13.6,diesel,2,aucune_panne
7747,5,2830,116,1.8,14.7,essence,16,entretien_conseille
128855,14,4676,108,2.3,12.5,diesel,17,panne_probable
70725,16,4944,113,3.5,11.5,essence,10,panne_critique
134981,18,1879,69,1.0,13.6,essence,3,panne_probable
89654,7,4985,112,1.3,13.8,diesel,15,panne_critique
72435,10,4265,103,4.3,13.2,essence,16,aucune_panne
36551,7,1582,106,1.2,11.8,essence,8,panne_critique
278538,1,1099,112,2.8,12.9,essence,5,panne_critique
8890,19,1308,105,2.8,12.2,essence,19,entretien_conseille
46606,16,2338,72,2.5,12.6,essence,1,panne_probable
261840,19,2848,96,3.1,13.5,essence,8,panne_critique
146699,4,2082,83,1.4,13.8,diesel,5,entretien_conseille
275936,18,2103,61,2.7,11.9,essence,2,panne_critique
244931,2,1519,73,2.0,12.5,essence,19,aucune_panne
244629,1,3992,69,3.1,12.0,essence,5,aucune_panne
210041,15,1519,94,1.1,11.8,essence,6,panne_critique
179073,5,1119,84,2.8,14.0,diesel,0,entretien_conseille
212624,11,4919,62,1.2,14.5,diesel,0,panne_critique
73148,10,4002,76,1.6,12.4,essence,4,aucune_panne
257801,2,2208,71,1.4,13.9,essence,5,panne_critique
129243,3,1467,113,1.2,14.4,essence,12,panne_probable
256995,12,2744,83,3.8,14.2,diesel,1,panne_critique
159555,5,2839,88,1.6,11.7,diesel,14,entretien_conseille
53555,5,3729,102,4.2,14.6,diesel,14,aucune_panne
261508,6,2249,84,4.4,12.4,diesel,12,entretien_conseille
284303,9,2464,119,2.8,12.3,essence,13,panne_critique
111530,2,3345,124,1.1,11.2,diesel,6,panne_critique
85077,12,4416,87,2.0,12.8,diesel,13,aucune_panne
205551,3,2993,75,3.7,11.4,essence,9,entretien_conseille
286601,12,3408,106,2.0,11.9,essence,16,panne_critique
213261,17,1600,117,0.8,12.2,diesel,13,panne_critique
245181,10,3784,86,2.7,14.1,diesel,7,aucune_panne
176829,14,2709,112,3.9,14.3,diesel,3,panne_probable
276836,17,941,101,3.7,12.1,diesel,15,panne_critique
207283,18,3085,118,1.2,14.3,essence,12,panne_critique
201769,19,4968,106,3.2,14.3,essence,19,panne_critique
42065,17,1371,93,1.4,13.9,diesel,17,panne_probable
228165,14,863,96,1.4,11.6,diesel,13,panne_critique
104299,9,1164,65,4.0,13.6,diesel,17,aucune_panne
16534,8,3742,66,1.5,14.6,diesel,4,aucune_panne
45397,2,3142,84,1.6,13.6,diesel,8,aucune_panne
262750,13,3055,92,0.5,12.3,essence,2,panne_critique
268160,7,4978,114,4.0,12.9,essence,7,panne_critique
60591,9,3257,117,3.7,13.5,essence,19,entretien_conseille
225884,11,1245,66,3.0,12.9,diesel,9,entretien_conseille
28247,14,4535,116,3.5,11.5,diesel,18,panne_critique
29300,4,1293,71,1.1,12.2,essence,2,panne_probable
87798,13,4504,75,2.3,14.0,essence,10,aucune_panne
14268,2,2159,102,1.9,14.3,diesel,10,aucune_panne
279329,5,4193,66,0.9,11.5,essence,16,panne_critique
199776,11,3301,110,2.4,14.6,diesel,15,panne_probable
222851,6,3144,91,4.2,12.2,diesel,6,aucune_panne
241584,18,3372,67,0.7,13.5,essence,3,panne_critique
43044,10,4900,104,1.7,13.9,essence,18,aucune_panne
53984,4,716,118,1.3,14.1,essence,11,panne_critique
269712,9,3891,63,1.5,14.6,diesel,14,entretien_conseille
125151,6,1092,126,4.1,12.2,diesel,10,entretien_conseille
138767,2,1124,88,2.4,14.3,essence,4,aucune_panne
129375,17,1271,88,2.4,11.5,diesel,4,panne_probable
184262,5,4331,87,3.5,13.7,diesel,14,entretien_conseille
141330,6,1820,103,1.1,13.8,diesel,17,entretien_conseille
